title,movie_rating,release_date,genre_name,director,writer,actors,imdb_rating,box_office,run_time
Shorts,PG,2009-08-21,Adventure,Robert Rodriguez,Robert Rodriguez,Jimmy Bennett,4.7,40000000.0,89.0
Frozen River,R,2008-09-05,Crime,Courtney Hunt,Courtney Hunt,Melissa Leo,7.1,1000000.0,97.0
"Surfer, Dude",R,2008-09-05,Comedy,S.R. Bindler,S.R. Bindler,Matthew McConaughey,4.7,6000000.0,85.0
Last Chance Harvey,PG-13,2009-01-16,Drama,Joel Hopkins,Joel Hopkins,Dustin Hoffman,6.6,0.0,93.0
"Welcome Home, Roscoe Jenkins",PG-13,2008-02-08,Comedy,Malcolm D. Lee,Malcolm D. Lee,Martin Lawrence,5.5,35000000.0,114.0
The Family That Preys,PG-13,2008-09-12,Drama,Tyler Perry,Tyler Perry,Kathy Bates,5.8,0.0,111.0
Surveillance,R,2008-07-31,Crime,Jennifer Lynch,Kent Harper,Julia Ormond,6.3,3500000.0,97.0
Inglourious Basterds,R,2009-08-21,Adventure,Quentin Tarantino,Quentin Tarantino,Brad Pitt,8.3,70000000.0,153.0
Star Trek,PG-13,2009-05-08,Action,J.J. Abrams,Roberto Orci,Chris Pine,7.9,150000000.0,127.0
Avatar,PG-13,2009-12-18,Action,James Cameron,James Cameron,Sam Worthington,7.8,237000000.0,162.0
Jennifer's Body,R,2009-09-18,Comedy,Karyn Kusama,Diablo Cody,Megan Fox,5.3,16000000.0,102.0
Watchmen,R,2009-03-06,Action,Zack Snyder,David Hayter,Jackie Earle Haley,7.6,130000000.0,162.0
Fast & Furious,PG-13,2009-04-03,Action,Justin Lin,Chris Morgan,Vin Diesel,6.6,85000000.0,107.0
G.I. Joe: The Rise of Cobra,PG-13,2009-08-07,Action,Stephen Sommers,Stuart Beattie,Dennis Quaid,5.8,175000000.0,118.0
The Hangover,R,2009-06-05,Comedy,Todd Phillips,Jon Lucas,Zach Galifianakis,7.7,35000000.0,100.0
Harry Potter and the Half-Blood Prince,PG,2009-07-15,Action,David Yates,Steve Kloves,Daniel Radcliffe,7.6,250000000.0,153.0
He's Just Not That Into You,PG-13,2009-02-06,Comedy,Ken Kwapis,Abby Kohn,Ginnifer Goodwin,6.4,40000000.0,129.0
2012,PG-13,2009-11-13,Action,Roland Emmerich,Roland Emmerich,John Cusack,5.8,200000000.0,158.0
The Lovely Bones,PG-13,2010-01-15,Drama,Peter Jackson,Fran Walsh,Rachel Weisz,6.7,65000000.0,135.0
State of Play,PG-13,2009-04-17,Crime,Kevin Macdonald,Matthew Michael Carnahan,Russell Crowe,7.1,0.0,127.0
Zombieland,R,2009-10-02,Adventure,Ruben Fleischer,Rhett Reese,Jesse Eisenberg,7.6,23600000.0,88.0
500 Days of Summer,PG-13,2009-08-07,Comedy,Marc Webb,Scott Neustadter,Zooey Deschanel,7.7,7500000.0,95.0
Sherlock Holmes,PG-13,2009-12-25,Action,Guy Ritchie,Michael Robert Johnson,Robert Downey Jr.,7.6,90000000.0,128.0
District 9,R,2009-08-14,Action,Neill Blomkamp,Neill Blomkamp,Sharlto Copley,7.9,30000000.0,112.0
The Blind Side,PG-13,2009-11-20,Biography,John Lee Hancock,John Lee Hancock,Quinton Aaron,7.6,29000000.0,129.0
Up,PG,2009-05-29,Animation,Pete Docter,Pete Docter,Edward Asner,8.2,175000000.0,96.0
X-Men Origins: Wolverine,PG-13,2009-05-01,Action,Gavin Hood,David Benioff,Hugh Jackman,6.6,150000000.0,107.0
Fantastic Mr. Fox,PG,2009-11-25,Animation,Wes Anderson,Roald Dahl,George Clooney,7.9,40000000.0,87.0
Brothers,R,2009-12-04,Action,Jim Sheridan,David Benioff,Jake Gyllenhaal,7.1,26000000.0,105.0
Orphan,R,2009-07-24,Horror,Jaume Collet-Serra,David Leslie Johnson-McGoldrick,Vera Farmiga,7.0,0.0,123.0
3 Idiots,PG-13,2009-12-25,Comedy,Rajkumar Hirani,Rajkumar Hirani,Aamir Khan,8.4,0.0,170.0
Fanboys,PG-13,2009-02-13,Adventure,Kyle Newman,Ernest Cline,Dan Fogler,6.6,3900000.0,90.0
Transformers: Revenge of the Fallen,PG-13,2009-06-24,Action,Michael Bay,Ehren Kruger,Shia LaBeouf,6.0,200000000.0,149.0
Up in the Air,R,2009-12-23,Comedy,Jason Reitman,Walter Kirn,George Clooney,7.4,25000000.0,109.0
