name,rating,genre,score,director,writer,star,budget,Run,released
Day of the Dead,Not Rated,Horror,7.1,George A. Romero,George A. Romero,Lori Cardille,3500000.0,101.0,1985-07-19
Just One of the Guys,PG-13,Comedy,6.5,Lisa Gottlieb,Dennis Feldman,Joyce Hyser,0.0,100.0,1985-04-26
National Lampoon's European Vacation,PG-13,Adventure,6.2,Amy Heckerling,John Hughes,Chevy Chase,17000000.0,95.0,1985-07-26
Spies Like Us,PG,Adventure,6.4,John Landis,Dan Aykroyd,Chevy Chase,22000000.0,102.0,1985-12-06
House,R,Comedy,6.2,Steve Miner,Fred Dekker,William Katt,3000000.0,93.0,1986-02-28
Police Academy 2: Their First Assignment,PG-13,Comedy,5.8,Jerry Paris,Neal Israel,Steve Guttenberg,7600000.0,87.0,1985-03-29
The Black Cauldron,PG,Animation,6.4,Ted Berman,Lloyd Alexander,Grant Bardsley,44000000.0,80.0,1985-07-24
Friday the 13th: A New Beginning,R,Horror,4.8,Danny Steinmann,Martin Kitrosser,Melanie Kinnaman,2200000.0,92.0,1985-03-22
Runaway Train,R,Action,7.2,Andrey Konchalovskiy,Djordje Milicevic,Jon Voight,9000000.0,111.0,1986-01-17
Re-Animator,Unrated,Comedy,7.2,Stuart Gordon,H.P. Lovecraft,Jeffrey Combs,900000.0,104.0,1985-10-18
Brewster's Millions,PG,Comedy,6.5,Walter Hill,George Barr McCutcheon,Richard Pryor,20000000.0,102.0,1985-05-22
The Last Dragon,PG-13,Action,6.9,Michael Schultz,Louis Venosta,Taimak,10000000.0,109.0,1985-03-22
The Legend of Billie Jean,PG-13,Action,6.6,Matthew Robbins,Mark Rosenthal,Helen Slater,0.0,96.0,1985-07-19
Desperately Seeking Susan,PG-13,Comedy,6.0,Susan Seidelman,Leora Barish,Rosanna Arquette,4500000.0,104.0,1985-04-12
Girls Just Want to Have Fun,PG,Comedy,6.0,Alan Metter,Amy Spies,Biff Yeager,0.0,90.0,1985-04-12
Vision Quest,R,Drama,6.6,Harold Becker,Terry Davis,Matthew Modine,0.0,107.0,1985-02-15
Jagged Edge,R,Drama,6.5,Richard Marquand,Joe Eszterhas,Jeff Bridges,15000000.0,108.0,1985-10-04
Enemy Mine,PG-13,Action,6.9,Wolfgang Petersen,Barry Longyear,Dennis Quaid,40000000.0,108.0,1985-12-20
Tuff Turf,R,Action,6.1,Fritz Kiersch,Jette Rinck,James Spader,0.0,112.0,1985-01-11
Volunteers,R,Adventure,5.5,Nicholas Meyer,Keith Critchlow,Tom Hanks,0.0,107.0,1985-08-16
The Jewel of the Nile,PG,Action,6.1,Lewis Teague,Mark Rosenthal,Michael Douglas,25000000.0,106.0,1985-12-11
Once Bitten,PG-13,Comedy,5.5,Howard Storm,Dimitri Villard,Lauren Hutton,3200000.0,94.0,1985-11-15
Private Resort,R,Comedy,5.3,George Bowers,Gordon Mitchell,Rob Morrow,0.0,82.0,1985-05-03
Police Story,PG-13,Action,7.6,Jackie Chan,Jackie Chan,Jackie Chan,0.0,100.0,1985-12-14
Into the Night,R,Action,6.5,John Landis,Ron Koslow,Jeff Goldblum,8000000.0,115.0,1985-02-22
The Sure Thing,PG-13,Comedy,7.0,Rob Reiner,Steve Bloom,John Cusack,4500000.0,95.0,1985-03-01
White Nights,PG-13,Drama,6.7,Taylor Hackford,James Goldman,Mikhail Baryshnikov,20000000.0,136.0,1985-12-06
Mischief,R,Comedy,6.5,Mel Damski,Noel Black,Doug McKeon,0.0,97.0,1985-02-08
Silver Bullet,R,Horror,6.4,Daniel Attias,Stephen King,Gary Busey,7000000.0,95.0,1985-10-11
Kiss of the Spider Woman,R,Drama,7.4,Hector Babenco,Manuel Puig,William Hurt,0.0,120.0,1985-07-26
My Beautiful Laundrette,R,Comedy,6.9,Stephen Frears,Hanif Kureishi,Saeed Jaffrey,0.0,97.0,1986-04-04
Young Sherlock Holmes,PG-13,Adventure,6.8,Barry Levinson,Arthur Conan Doyle,Nicholas Rowe,18000000.0,109.0,1985-12-04
Smooth Talk,PG-13,Drama,6.5,Joyce Chopra,Joyce Carol Oates,Treat Williams,2400000.0,92.0,1985-11-15
Porky's Revenge,R,Comedy,4.8,James Komack,Bob Clark,Dan Monahan,9000000.0,92.0,1985-03-22
Year of the Dragon,R,Action,6.9,Michael Cimino,Robert Daley,Mickey Rourke,24000000.0,134.0,1985-08-16
Prizzi's Honor,R,Comedy,6.7,John Huston,Richard Condon,Jack Nicholson,0.0,130.0,1985-06-14
The Quiet Earth,R,Drama,6.8,Geoff Murphy,Craig Harrison,Bruno Lawrence,1000000.0,91.0,1985-10-18
Tampopo,Not Rated,Comedy,8.0,Jûzô Itami,Jûzô Itami,Ken Watanabe,0.0,114.0,1987-09-01
Creature,R,Horror,4.3,William Malone,William Malone,Stan Ivar,750000.0,97.0,1986-03-19
Secret Admirer,R,Comedy,6.6,David Greenwalt,Jim Kouf,C. Thomas Howell,0.0,90.0,1985-06-14
"No Retreat, No Surrender",PG,Action,5.7,Corey Yuen,See-Yuen Ng,Kurt McKinney,0.0,85.0,1986-05-02
