title,movie_rating,run_time,meta_score,imdb_rating,director,writer,actor,genre_name,Year,Predictions_BoxOffice,Predictions_Upcoming,label_boxoffice,box_office,Predictions_imbdRating,Predictions_imbd_Upcoming,label_imbd_score
Mi vida loca,R,92.0,0.0,6.5,Allison Anders,Allison Anders,Angel Aviles,Crime,1994,1.0,0.0,0.0,3267313.0,1.0,0.0,0.0
Fatal Instinct,PG-13,91.0,0.0,5.8,Carl Reiner,David O'Malley,Armand Assante,Comedy,1993,1.0,0.0,0.0,7839327.0,1.0,0.0,0.0
Heaven & Earth,R,140.0,0.0,6.8,Oliver Stone,Le Ly Hayslip,Hiep Thi Le,Action,1994,1.0,0.0,0.0,5864949.0,1.0,0.0,0.0
Posse,R,111.0,0.0,5.5,Mario Van Peebles,Sy Richardson,Mario Van Peebles,Western,1993,1.0,0.0,0.0,18289763.0,1.0,0.0,0.0
Even Cowgirls Get the Blues,R,106.0,0.0,4.4,Gus Van Sant,Tom Robbins,Uma Thurman,Comedy,1994,1.0,0.0,0.0,1708873.0,1.0,0.0,0.0
A Far Off Place,PG,108.0,0.0,6.6,Mikael Salomon,Lourens van der Post,Reese Witherspoon,Adventure,1993,1.0,0.0,0.0,12890752.0,1.0,0.0,0.0
Cop & ½,PG,97.0,0.0,4.1,Henry Winkler,Arne Olsen,Burt Reynolds,Comedy,1993,1.0,0.0,0.0,40689691.0,1.0,0.0,0.0
Caro diario,Unrated,100.0,0.0,7.3,Nanni Moretti,Nanni Moretti,Nanni Moretti,Biography,1994,1.0,0.0,0.0,225278.0,1.0,0.0,0.0
Bhaji on the Beach,R,101.0,0.0,6.4,Gurinder Chadha,Gurinder Chadha,Kim Vithana,Comedy,1994,1.0,0.0,0.0,735162.0,1.0,0.0,0.0
Silent Tongue,PG-13,102.0,0.0,5.3,Sam Shepard,Sam Shepard,Alan Bates,Drama,1995,1.0,0.0,0.0,61274.0,1.0,0.0,0.0
Born Yesterday,PG,100.0,0.0,5.2,Luis Mandoki,Garson Kanin,Melanie Griffith,Comedy,1993,1.0,0.0,0.0,17952857.0,1.0,0.0,0.0
The Nutcracker,G,92.0,0.0,5.9,Emile Ardolino,Susan Cooper,Darci Kistler,Family,1993,1.0,0.0,0.0,2119994.0,1.0,0.0,0.0
Philadelphia Experiment II,PG-13,97.0,0.0,4.5,Stephen Cornwell,Wallace C. Bennett,Brad Johnson,Action,1994,1.0,0.0,0.0,2970.0,1.0,0.0,0.0
Blue,Not Rated,79.0,0.0,7.3,Derek Jarman,Derek Jarman,Derek Jarman,Biography,1993,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Fear of a Black Hat,R,88.0,0.0,7.2,Rusty Cundieff,Rusty Cundieff,Larry B. Scott,Comedy,1994,1.0,0.0,0.0,233824.0,1.0,0.0,0.0
The Night We Never Met,R,99.0,0.0,6.0,Warren Leight,Warren Leight,Matthew Broderick,Comedy,1993,1.0,0.0,0.0,1884814.0,1.0,0.0,0.0
Forrest Gump,PG-13,142.0,0.0,8.8,Robert Zemeckis,Winston Groom,Tom Hanks,Drama,1994,1.0,0.0,0.0,678226133.0,1.0,0.0,0.0
True Lies,R,141.0,0.0,7.2,James Cameron,Claude Zidi,Arnold Schwarzenegger,Action,1994,1.0,0.0,0.0,378882411.0,1.0,0.0,0.0
