movie_id,title,movie_rating,release_date,run_time,meta_score,imdb_rating,box_office,director,writer,actor,genre_name
183,Buddy Buddy,R,1981-12-11,96.0,0.0,6.5,7258543.0,Billy Wilder,Francis Veber,Jack Lemmon,Comedy
184,Bustin' Loose,R,1981-05-22,94.0,0.0,6.1,31261269.0,Oz Scott,Lonne Elder III,Richard Pryor,Comedy
185,Modern Romance,R,1981-03-13,93.0,0.0,7.0,2863642.0,Albert Brooks,Albert Brooks,Albert Brooks,Comedy
186,Heartbeeps,PG,1981-12-18,78.0,0.0,4.3,2154696.0,Allan Arkush,John Hill,Andy Kaufman,Comedy
187,Back Roads,R,1981-03-13,94.0,0.0,5.6,11809387.0,Martin Ritt,Gary DeVore,Sally Field,Adventure
188,Take This Job and Shove It,PG,1981-05-15,100.0,0.0,5.0,17569027.0,Gus Trikonis,Barry Schneider,Robert Hays,Comedy
189,Raggedy Man,R,1981-09-18,94.0,0.0,6.8,1976198.0,Jack Fisk,William D. Wittliff,Sissy Spacek,Drama
190,Whose Life Is It Anyway?,R,1982-01-22,119.0,0.0,7.3,8206145.0,John Badham,Brian Clark,Richard Dreyfuss,Comedy
191,Inchon,PG,1982-09-17,140.0,0.0,2.7,5200986.0,Terence Young,Robin Moore,Laurence Olivier,Drama
192,All Night Long,R,1981-03-06,87.0,0.0,5.5,4454295.0,Jean-Claude Tramont,W.D. Richter,Gene Hackman,Comedy
193,The Pursuit of D.B. Cooper,PG,1981-11-13,100.0,0.0,5.6,3702028.0,Roger Spottiswoode,J.D. Reed,Robert Duvall,Adventure
194,Rollover,R,1981-12-11,116.0,0.0,5.4,10851261.0,Alan J. Pakula,Howard Kohn,Jane Fonda,Drama
195,Only When I Laugh,R,1981-09-25,120.0,0.0,6.5,25524778.0,Glenn Jordan,Neil Simon,Marsha Mason,Comedy
196,Honky Tonk Freeway,PG,1981-08-21,107.0,0.0,5.2,2004742.0,John Schlesinger,Edward Clinton,David Rasche,Action
197,Paternity,PG,1981-10-02,94.0,0.0,4.9,18838812.0,David Steinberg,Charlie Peters,Burt Reynolds,Comedy
198,King of the Mountain,PG,1981-05-01,90.0,0.0,5.5,1791147.0,Noel Nosseck,David Barry,Harry Hamlin,Action
199,Scream,R,1981-01-01,82.0,0.0,2.9,0.0,Byron Quisenberry,Byron Quisenberry,Pepper Martin,Horror
200,The Devil and Max Devlin,PG,1981-03-06,96.0,0.0,5.0,16000000.0,Steven Hilliard Stern,Mary Rodgers,Elliott Gould,Comedy
201,The Amateur,R,1982-02-12,112.0,0.0,5.8,6892098.0,Charles Jarrott,Robert Littell,John Savage,Crime
202,Longshot,TV-PG,1981-01-01,100.0,0.0,5.1,0.0,E.W. Swackhamer,Barry Rosen,Leif Garrett,Comedy
203,Comin' at Ya!,R,1981-07-24,91.0,0.0,5.1,12000000.0,Ferdinando Baldi,Wolfe Lowenthal,Tony Anthony,Western
204,Le Pont du Nord,Not Rated,1982-03-24,129.0,0.0,6.9,17110.0,Jacques Rivette,Bulle Ogier,Bulle Ogier,Adventure
205,Silence of the North,PG,1981-10-23,94.0,0.0,6.3,1622898.0,Allan King,Olive Frederickson,Ellen Burstyn,Drama
