genre_id,genre_name
1928,Animation
1929,Comedy
1930,Comedy
1931,Drama
1932,Comedy
1933,Adventure
1934,Action
1935,Comedy
1936,Comedy
1937,Crime
1938,Drama
1939,Action
1940,Comedy
1941,Crime
1942,Action
1943,Action
1944,Comedy
1945,Drama
1946,Comedy
1947,Drama
1948,Comedy
1949,Comedy
1950,Comedy
1951,Drama
1952,Horror
1953,Comedy
1954,Drama
1955,Comedy
1956,Comedy
1957,Adventure
1958,Crime
1959,Drama
1960,Drama
1961,Drama
1962,Comedy
1963,Comedy
1964,Comedy
1965,Drama
1966,Drama
1967,Comedy
1968,Comedy
1969,Drama
1970,Comedy
1971,Drama
1972,Comedy
1973,Comedy
1974,Crime
1975,Action
1976,Drama
1977,Crime
1978,Drama
1979,Animation
1980,Drama
1981,Comedy
1982,Adventure
1983,Drama
1984,Comedy
1985,Action
1986,Comedy
1987,Mystery
1988,Comedy
1989,Comedy
1990,Action
1991,Action
1992,Action
1993,Comedy
1994,Drama
1995,Action
1996,Action
1997,Comedy
1998,Drama
1999,Drama
2000,Drama
2001,Biography
2002,Crime
2003,Drama
2004,Horror
2005,Drama
2006,Biography
2007,Action
2008,Adventure
2009,Comedy
2010,Horror
2011,Action
2012,Action
2013,Comedy
2014,Comedy
2015,Comedy
2016,Comedy
2017,Drama
2018,Drama
2019,Comedy
2020,Comedy
2021,Action
2022,Action
2023,Drama
2024,Drama
2025,Action
2026,Drama
2027,Crime
2028,Comedy
2029,Comedy
2030,Mystery
2031,Drama
2032,Drama
2033,Action
2034,Drama
2035,Drama
2036,Biography
2037,Drama
2038,Action
2039,Comedy
2040,Comedy
2041,Biography
2042,Comedy
2043,Mystery
2044,Crime
2045,Drama
2046,Horror
2047,Comedy
2048,Action
2049,Horror
2050,Drama
2051,Drama
2052,Comedy
2053,Action
2054,Drama
2055,Action
2056,Comedy
2057,Animation
2058,Comedy
2059,Action
2060,Comedy
2061,Adventure
2062,Crime
2063,Drama
2064,Action
2065,Action
2066,Drama
2067,Animation
2068,Crime
2069,Comedy
2070,Comedy
