,Unnamed: 0,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Metascore,imdbRating,BoxOffice,Production
114,114,Benedetta,2021,Unrated,03 Dec 2021,131 min,"Biography, Drama, History",Paul Verhoeven,"David Birke, Paul Verhoeven, Judith C. Brown","Virginie Efira, Charlotte Rampling, Daphne Patakia","French, Latin",73.0,6.7,"$100,094",0
115,115,Bo Gia,2021,0,12 Mar 2021,128 min,"Comedy, Drama, Family","Tran Thanh, Ngoc Dang Vu","Ho Thuc An, Nhi Bui","Tran Thanh, Tuan Tran, Ngan Chi",Vietnamese,0.0,6.7,"$404,371",0
116,116,Flee,2021,PG-13,17 Jun 2021,89 min,"Documentary, Animation",Jonas Poher Rasmussen,"Amin Nawabi, Jonas Poher Rasmussen","Daniel Karimyar, Fardin Mijdzadeh, Milad Eskandari","Danish, English, Dari, Russian, Swedish",90.0,8.1,"$288,714",0
117,117,Dutch,2021,R,12 Mar 2021,109 min,Action,Preston A. Whitmore II,"Preston A. Whitmore II, Teri Woods","Natasha Marc, Iyana Halley, Malcolm David Kelley",English,0.0,3.7,"$269,435",0
118,118,India Sweets and Spices,2021,PG-13,12 Jun 2021,101 min,Comedy,Geeta Malik,Geeta Malik,"Sophia Ali, Manisha Koirala, Rish Shah",English,57.0,6.0,"$264,626",0
119,119,A Mouthful of Air,2021,R,29 Oct 2021,105 min,Drama,Amy Koppelman,Amy Koppelman,"Amanda Seyfried, Olivia Katz, Christian Kutz",English,52.0,6.0,"$254,775",0
120,120,Rita Moreno: Just a Girl Who Decided to Go for It,2021,PG-13,18 Jun 2021,90 min,"Documentary, Biography",Mariem Pérez Riera,0,"Lin-Manuel Miranda, Morgan Freeman, Marlon Brando",English,77.0,7.7,0,0
121,121,Once I Was Engaged,2021,0,21 Jul 2021,107 min,Comedy,"Maclain Nelson, Stephen Shimek",Maclain Nelson,"Bart Johnson, Paris Warner, Clare Niederpruem",0,0.0,7.0,"$231,687",0
122,122,Supernova,2021,0,23 Jul 2021,0,"Short, Drama",Lorenzo Baldi,Lorenzo Baldi,"Jules Baron, Paul Samrani",French,0.0,0.0,0,0
123,123,Becoming Cousteau,2021,PG-13,24 Nov 2021,94 min,"Documentary, Adventure, Biography",Liz Garbus,"Mark Monroe, Pax Wassermann","Vincent Cassel, Carol Burnett, Louis Malle","English, French",74.0,7.1,0,0
124,124,Limbo,2021,0,18 Nov 2021,118 min,Drama,Soi Cheang,Kin-Yee Au,"Ka-Tung Lam, Yase Liu, Mason Lee","Chinese, Cantonese",0.0,7.2,"$214,390",0
125,125,Doctor,2021,0,09 Oct 2021,148 min,"Action, Comedy, Crime",Nelson Dilipkumar,Nelson Dilipkumar,"Sivakarthikeyan, Vinay Rai, Priyanka Arulmohan",Tamil,0.0,7.6,0,0
126,126,Together,2021,R,27 Aug 2021,92 min,"Comedy, Drama","Stephen Daldry, Justin Martin",Dennis Kelly,"James McAvoy, Sharon Horgan, Samuel Logan",English,59.0,6.4,"$204,513",0
127,127,La Piscine,2021,0,14 May 2021,0,0,0,0,0,0,0.0,0.0,"$191,996",0
128,128,Ailey,2021,PG-13,23 Jul 2021,95 min,"Documentary, Biography",Jamila Wignot,0,"Alvin Ailey, Judith Jamison, Samuel Lee Roberts",English,77.0,6.9,0,0
129,129,The Resort,2021,0,12 Jul 2021,75 min,Horror,Taylor Chien,Taylor Chien,"Bianca Haase, Brock O'Hurn, Michael Vlamis",English,0.0,3.0,"$147,595",0
130,130,"O, What Rice! O, What Beans!",2021,0,01 Jun 2021,6 min,"Animation, Short",Jer Moran,Jer Moran,"Alec Bersoux, Timothy Bethel Brewer, Vincent Gagnepain",English,0.0,0.0,"$146,329",0
131,131,Wolf,2021,R,18 Feb 2022,99 min,"Drama, Mystery, Thriller",Nathalie Biancheri,Nathalie Biancheri,"George MacKay, Lily-Rose Depp, Paddy Considine",English,52.0,6.4,"$145,191",0
132,132,SAS: Red Notice,2021,R,16 Mar 2021,124 min,"Action, Thriller",Magnus Martens,"Laurence Malkin, Andy McNab","Sam Heughan, Ruby Rose, Andy Serkis","English, French",0.0,5.2,"$145,174",0
133,133,Bergman Island,2021,R,14 Jul 2021,112 min,Drama,Mia Hansen-Løve,Mia Hansen-Løve,"Vicky Krieps, Tim Roth, Grace Delrue","English, French, Swedish",81.0,6.8,0,0
134,134,Mass,2021,PG-13,15 Oct 2021,111 min,Drama,Fran Kranz,Fran Kranz,"Jason Isaacs, Martha Plimpton, Ann Dowd",English,81.0,7.7,0,0
135,135,The Reckoning,2021,0,04 Jun 2021,50 min,Western,"Carlos Diaz, George Meyers, Dink Thomas","CJ Morrison, Dink Thomas, Tracy Townsend","CJ Morrison, Dink Thomas, Wally Welch",English,0.0,0.0,"$130,934",0
136,136,No Man's Land,2021,0,19 Nov 2021,114 min,"Crime, Drama, Thriller",Jishnu Harindra Varma,Jishnu Harindra Varma,"Lukman Lukku, Sreeja Das, Sudhi Koppa",Malayalam,0.0,7.7,"$17,530",0
137,137,Tadap,2021,0,03 Dec 2021,126 min,"Action, Drama, Romance",Milan Luthria,"Rajat Arora, Ajay Bhupathi","Ahan Shetty, Tara Sutaria, Saurabh Shukla",Hindi,0.0,5.7,0,0
138,138,Gaia,2021,R,18 Jun 2021,96 min,"Drama, Fantasy, Horror",Jaco Bouwer,Tertius Kapp,"Monique Rockman, Carel Nel, Alex van Dyk","English, Afrikaans",64.0,5.6,"$124,772",0
139,139,Swan Song,2021,R,17 Dec 2021,112 min,"Drama, Romance, Sci-Fi",Benjamin Cleary,Benjamin Cleary,"Mahershala Ali, Naomie Harris, Awkwafina",English,66.0,6.8,"$120,226",0
140,140,The Djinn,2021,R,14 May 2021,82 min,"Horror, Thriller","David Charbonier, Justin Powell","David Charbonier, Justin Powell","Ezra Dewey, Rob Brownstein, Tevy Poe","English, American Sign ",59.0,4.7,0,0
141,141,Walking with Herb,2021,PG,30 Apr 2021,110 min,Comedy,Ross Kagan Marks,Mark Medoff,"Edward James Olmos, George Lopez, Kathleen Quinlan",English,0.0,5.1,"$110,995",0
142,142,The World to Come,2021,0,15 Apr 2021,0,"Short, Drama, Horror",Josh Fagen,Josh Fagen,"Steven Hobé, Andrew Johnston, Harriet Karsh",English,0.0,0.0,"$107,798",0
143,143,Small Engine Repair,2021,R,10 Sep 2021,102 min,"Comedy, Drama, Thriller",John Pollono,John Pollono,"Jon Bernthal, Shea Whigham, Jordana Spiro",English,57.0,6.6,"$102,651",0
144,144,The Loneliest Whale: The Search for 52,2021,PG,09 Jul 2021,96 min,"Documentary, Adventure",Joshua Zeman,"Lisa Schiller, Lisa Schiller, Joshua Zeman","Joshua Zeman, Joseph George, David Rosenberg",English,69.0,6.6,0,0
145,145,Tango Shalom,2021,PG-13,29 Oct 2021,115 min,"Comedy, Family",Gabriel Bologna,"Joseph Bologna, Claudio Laniado, Jos Laniado","Lainie Kazan, Renée Taylor, Philip Anthony-Rodriguez",English,0.0,6.4,"$98,929",0
146,146,The Misfits,2021,R,11 Jun 2021,94 min,"Action, Adventure, Thriller",Renny Harlin,"Kurt Wimmer, Robert Henny","Pierce Brosnan, Tim Roth, Nick Cannon",English,25.0,4.3,"$95,643",0
147,147,The Souvenir: Part II,2021,R,04 Feb 2022,107 min,"Drama, Romance",Joanna Hogg,Joanna Hogg,"Tilda Swinton, Honor Swinton Byrne, James Spencer Ashworth",English,90.0,7.7,"$90,050",0
148,148,Safer at Home,2021,R,26 Feb 2021,82 min,"Crime, Drama, Thriller",Will Wernick,"Will Wernick, Lia Bozonelis, John Ierardi","Alisa Allapach, Adwin Brown, Katie L. Hall",English,35.0,4.1,"$8,188",0
149,149,Censor,2021,0,11 Jun 2021,84 min,"Horror, Mystery",Prano Bailey-Bond,"Prano Bailey-Bond, Anthony Fletcher","Niamh Algar, Michael Smiley, Nicholas Burns",English,69.0,6.1,"$87,059",0
150,150,Jockey,2021,R,04 Feb 2022,94 min,Drama,Clint Bentley,"Clint Bentley, Greg Kwedar","Clifton Collins Jr., Moises Arias, Molly Parker",English,77.0,6.7,0,0
151,151,Mission Stories,2021,0,07 May 2021,110 min,Drama,Bryce Clark,"Bryce Clark, Crystal Myler","Joel Bishop, Louis Boakye, Charley Boon",English,0.0,7.8,0,0
152,152,On Broadway,2021,0,19 Mar 2021,0,Musical,Zachary James,0,"Zachary James, Charity Wicks",English,0.0,0.0,"$76,650",0
153,153,Undine,2021,0,24 Jul 2021,30 min,"Animation, Short, Music",Sjaron Minailo,"Michaël Brijs, Stefanie Janssen, Sjaron Minailo","Michaël Brijs, Stefanie Janssen",English,0.0,0.0,"$73,257",0
154,154,In Balanchine's Classroom,2021,0,17 Sep 2021,89 min,Documentary,Connie Hochman,0,"Merrill Ashley, George Balanchine, Jacques d'Amboise",English,0.0,7.1,"$93,579",0
155,155,Language Lessons,2021,0,10 Sep 2021,91 min,"Comedy, Drama",Natalie Morales,"Mark Duplass, Natalie Morales","Mark Duplass, Natalie Morales, Desean Terry","English, Spanish",68.0,7.1,0,0
156,156,CatVideoFest 2021,2021,0,23 Jul 2021,0,0,0,0,0,0,0.0,0.0,"$71,334",0
157,157,Summertime Dropouts,2021,0,26 Oct 2021,0,"Comedy, Family",Jhene Chase,"Jhene Chase, Hannah Maslinski, Hamid Torabpour","Quinton Aaron, Nick Podany, Josh Richards",English,0.0,0.0,"$62,376",0
158,158,Demonic,2021,R,20 Aug 2021,104 min,"Drama, Horror, Sci-Fi",Neill Blomkamp,Neill Blomkamp,"Carly Pope, Chris William Martin, Michael J Rogers",English,36.0,4.2,0,0
159,159,The First Wave,2021,R,26 Nov 2021,93 min,"Documentary, History",Matthew Heineman,0,Nathalie Douge,English,85.0,6.9,"$61,030",0
160,160,Dreams Come True,2021,0,12 Jul 2021,0,"Short, Music",Belinda Elkaim,0,0,English,0.0,0.0,"$60,389",0
161,161,Lansky,2021,R,25 Jun 2021,119 min,"Biography, Crime, Drama",Eytan Rockaway,"Eytan Rockaway, Robert Rockaway","Harvey Keitel, Sam Worthington, John Magaro",English,45.0,6.3,"$55,333",0
162,162,Kurt Vonnegut: Unstuck in Time,2021,Not Rated,11 Nov 2021,127 min,Documentary,"Robert B. Weide, Don Argott",Robert B. Weide,"Linda Bates, Jerome Klinkowitz, Sidney Offit",English,64.0,8.0,"$55,068",0
163,163,Without Getting Killed or Caught,2021,0,16 Mar 2021,95 min,Documentary,"Tamara Saviano, Paul Whitfield","Bart Knaggs, Tamara Saviano","Jo Harvey Allen, Terry Allen, Guy Clark",English,0.0,7.8,"$55,121",0
164,164,Son,2021,Not Rated,05 Mar 2021,98 min,"Horror, Thriller",Ivan Kavanagh,Ivan Kavanagh,"Andi Matichak, Emile Hirsch, Luke David Blumm",English,54.0,5.6,0,0
165,165,Christmas vs. The Walters,2021,PG-13,26 Nov 2021,102 min,"Comedy, Drama, Family",Peter A. D'Amato,"Peter A. D'Amato, Ante Novakovic","Shawnee Smith, Dean Winters, Chris Elliott",English,0.0,4.0,"$53,932",0
166,166,Harry Truman,2021,0,01 Mar 2021,0,0,0,0,Richard Pious,English,0.0,0.0,0,0
167,167,Azor,2021,0,10 Sep 2021,100 min,"Drama, Thriller",Andreas Fontana,"Andreas Fontana, Mariano Llinás","Fabrizio Rongione, Stéphanie Cléau, Carmen Iriondo","French, Spanish, English",88.0,6.7,"$52,656",0
168,168,EMA,2021,0,27 Feb 2021,0,Music,0,0,"Lea Sirk, Ana Soklic",Slovenian,0.0,0.0,"$49,347",0
169,169,Memoria,2021,PG,30 Sep 2021,136 min,"Drama, Sci-Fi",Apichatpong Weerasethakul,Apichatpong Weerasethakul,"Tilda Swinton, Elkin Díaz, Jeanne Balibar","English, Spanish",91.0,6.7,"$48,144",0
170,170,France,2021,Unrated,10 Dec 2021,133 min,"Comedy, Drama",Bruno Dumont,Bruno Dumont,"Léa Seydoux, Blanche Gardin, Benjamin Biolay","German, English, French",57.0,5.9,"$44,736",0
171,171,Last Call,2021,R,19 Mar 2021,102 min,Comedy,Paolo Pilladi,"Greg Lingo, Michael Baughan, Billy Reilly","Jeremy Piven, Taryn Manning, Zach McGowan",English,0.0,4.1,"$39,199",0
172,172,Death Rider in the House of Vampires,2021,Not Rated,27 Aug 2021,92 min,"Horror, Western",Glenn Danzig,Glenn Danzig,"Devon Sawa, Julian Sands, Kim Director",English,0.0,4.4,"$42,068",0
173,173,The Scary of Sixty-First,2021,Unrated,24 Dec 2021,81 min,"Comedy, Horror, Mystery",Dasha Nekrasova,"Dasha Nekrasova, Madeline Quinn","Madeline Quinn, Betsey Brown, Stephen Gurewitz",English,49.0,5.2,"$41,598",0
174,174,Old Henry,2021,0,01 Oct 2021,99 min,"Thriller, Western",Potsy Ponciroli,Potsy Ponciroli,"Tim Blake Nelson, Scott Haze, Gavin Lewis","English, Spanish",69.0,7.3,"$39,948",0
175,175,Senior Moment,2021,0,26 Mar 2021,92 min,"Comedy, Drama, Romance",Giorgio Serafini,"Kurt Brungardt, Christopher Momenee","William Shatner, Jean Smart, Don McManus",English,41.0,6.1,"$37,266",0
176,176,Luzzu,2021,0,05 Jan 2022,94 min,Drama,Alex Camilleri,Alex Camilleri,"Filip Sertic, Jesmark Scicluna, Frida Cauchi","Maltese, English",79.0,7.0,"$37,000",0
177,177,"All Light, Everywhere",2021,Unrated,04 Jun 2021,105 min,Documentary,Theo Anthony,0,"Theo Anthony, Keaver Brenai, Robert Cunniff",English,76.0,6.9,"$33,765",0
178,178,Heart of Champions,2021,PG-13,29 Oct 2021,119 min,"Drama, Sport",Michael Mailer,Vojin Gjaja,"Michael Shannon, Alexander Ludwig, Charles Melton",English,0.0,5.6,0,0
179,179,Cryptozoo,2021,0,20 Aug 2021,95 min,Animation,Dash Shaw,Dash Shaw,"Lake Bell, Michael Cera, Emily Davis",English,74.0,6.5,0,0
180,180,Confetti,2021,0,04 Jan 2021,0,"Short, Drama",Zander Padget,Zander Padget,"Kiley A. Rothweiler, Katherine Wallach",English,0.0,0.0,"$32,934",0
181,181,Bloody Hell: A Rock-Zoo-Mentary,2021,0,11 Jul 2021,0,"Short, Comedy",Shane Brady,Shane Brady,"Sean Akyildiz, Jeancarlos Bello, Kimberly Blake",English,0.0,0.0,"$32,124",0
182,182,The God Committee,2021,0,02 Jul 2021,98 min,Drama,Austin Stark,"Austin Stark, Mark St. Germain","Kelsey Grammer, Julia Stiles, Colman Domingo",English,48.0,5.8,0,0
183,183,Yakuza Princess,2021,R,07 Oct 2021,111 min,Thriller,Vicente Amorim,"Danilo Beyruth, Fernando Toste, Kimi Lee","MASUMI, Jonathan Rhys Meyers, Tsuyoshi Ihara","Japanese, English, Portuguese",34.0,4.5,"$30,520",0
184,184,Monday,2021,0,18 Oct 2021,4 min,"Short, Drama",Paul Hanna,"Nicholas Denton-Cheng, Paul Hanna","Maya T. Weed, Thomas Baker",English,0.0,0.0,"$29,262",0
185,185,The Beta Test,2021,Unrated,15 Oct 2021,93 min,"Comedy, Horror, Thriller","Jim Cummings, PJ McCabe","Jim Cummings, PJ McCabe","Jim Cummings, Virginia Newcomb, PJ McCabe",English,72.0,6.1,"$29,183",0
186,186,The Perfect Candidate,2021,0,04 Sep 2021,0,Documentary,0,0,0,Tagalog,0.0,0.0,0,0
187,187,Trigger Point,2021,Not Rated,16 Apr 2021,85 min,"Action, Mystery, Thriller",Brad Turner,Michael Vickerman,"Barry Pepper, Colm Feore, Eve Harlow",English,0.0,4.9,"$27,744",0
188,188,Settlers,2021,Not Rated,23 Jul 2021,103 min,"Drama, Sci-Fi, Thriller",Wyatt Rockefeller,Wyatt Rockefeller,"Sofia Boutella, Ismael Cruz Cordova, Brooklynn Prince",English,56.0,4.7,"$27,588",0
189,189,Prisoners of the Ghostland,2021,0,17 Sep 2021,103 min,"Action, Fantasy, Sci-Fi",Sion Sono,"Aaron Hendry, Reza Sixo Safai","Nicolas Cage, Sofia Boutella, Nick Cassavetes","English, Japanese, Mandarin, French",53.0,4.2,0,0
190,190,"Ma Belle, My Beauty",2021,0,20 Aug 2021,93 min,"Drama, Romance",Marion Hill,Marion Hill,"Idella Johnson, Hannah Pepper, Lucien Guignard","English, French",65.0,5.5,"$25,386",0
191,191,Jakob's Wife,2021,Not Rated,16 Apr 2021,98 min,Horror,Travis Stevens,"Mark Steensland, Kathy Charles, Travis Stevens","Barbara Crampton, Larry Fessenden, Bonnie Aarons",English,59.0,5.5,"$24,322",0
192,192,Our Ladies of Brooklyn,2021,0,0,0,"Comedy, Drama",0,0,"Em Haine, Bella Ortiz, Caitlin Kinnunen",0,0.0,0.0,0,0
193,193,The Night,2021,0,01 Sep 2021,19 min,"Documentary, Short",Ming-liang Tsai,Ming-liang Tsai,0,0,0.0,0.0,"$21,515",0
194,194,John and the Hole,2021,R,06 Aug 2021,103 min,"Drama, Horror, Thriller",Pascual Sisto,Nicolás Giacobone,"Charlie Shotwell, Michael C. Hall, Jennifer Ehle",English,61.0,5.4,"$20,507",0
195,195,The Novice,2021,R,17 Dec 2021,94 min,"Drama, Thriller",Lauren Hadaway,Lauren Hadaway,"Isabelle Fuhrman, Amy Forsyth, Dilone",English,85.0,6.5,"$20,268",0
196,196,Gully Rowdy,2021,0,17 Sep 2021,143 min,Comedy,G. Nageswara Reddy,"Bhanu Bhogavarapu, Kona Venkat, Nandu R.K.","Harsha Chemudu, Sundeep Kishan, Vennela Kishore",Telugu,0.0,5.9,"$17,316",0
197,197,Dating & New York,2021,PG-13,30 Sep 2021,91 min,Comedy,Jonah Feingold,Jonah Feingold,"Eva Victor, Jerry Ferrara, Jaboukie Young-White",English,42.0,5.1,"$17,200",0
198,198,Writing with Fire,2021,Not Rated,20 Oct 2021,92 min,Documentary,"Sushmit Ghosh, Rintu Thomas",0,"Meera Devi, Shyamkali Devi, Suneeta Prajapati",Hindi,83.0,7.9,"$16,104",0
199,199,Harper,2021,0,14 Dec 2021,104 min,Drama,Kate Bohan,"Kate Bohan, Jiamin Qiu","Kayla Bohan, Gina Vitori, Carly Sullivan",English,0.0,8.1,"$15,974",0
200,200,Mystery of the Kingdom of God,2021,0,26 Mar 2021,91 min,"Animation, Family",Adam Smit,"Jenny Chen, Adam Smit",Adam Smit,English,0.0,2.3,"$15,750",0
201,201,Ascension,2021,0,15 Nov 2021,97 min,Documentary,Jessica Kingdon,0,0,Mandarin,82.0,7.2,"$15,671",0
202,202,How It Ends,2021,R,20 Jul 2021,82 min,Comedy,"Zoe Lister-Jones, Daryl Wein","Daryl Wein, Zoe Lister-Jones","Zoe Lister-Jones, Cailee Spaeny, Whitney Cummings",English,57.0,5.1,0,0
203,203,First Date,2021,Not Rated,02 Jul 2021,103 min,"Comedy, Crime, Mystery","Manuel Crosby, Darren Knapp","Manuel Crosby, Darren Knapp","Tyson Brown, Shelby Duclos, Jesse Janzen",English,52.0,5.3,0,0
204,204,The Laws of the Universe: The Age of Elohim,2021,PG,22 Oct 2021,119 min,Animation,Isamu Imakake,"Ryuho Okawa, Sayaka Okawa","Satomi Arai, Miki Itô, Kane Jungbluth-Murry",Japanese,0.0,0.0,"$15,063",0
205,205,Even in Dreams,2021,PG,06 Aug 2021,120 min,Family,Savannah Ostler,Savannah Ostler,"Alison Arngrim, Eric Osmond, Adrian R'Mante",English,0.0,8.3,"$14,000",0
206,206,No Ordinary Man,2021,0,01 May 2021,0,"Short, Crime","Raheeb Ray Ahmad, Amrith Lal","Raheeb Ray Ahmad, Lucas Eisele","Thaer Al-Shayei, Lisa Gealy, Omar Ragab, Shabana Haroon",English,0.0,0.0,"$13,760",0
207,207,Best Sellers,2021,0,17 Sep 2021,102 min,"Comedy, Drama",Lina Roessler,Anthony Grieco,"Michael Caine, Aubrey Plaza, Scott Speedman",English,54.0,6.2,0,0
208,208,We Broke Up,2021,0,23 Apr 2021,80 min,"Comedy, Drama",Jeff Rosenberg,"Jeff Rosenberg, Laura Jacqmin","Aya Cash, William Jackson Harper, Sarah Bolger",English,53.0,4.9,"$13,589",0
209,209,American Traitor: The Trial of Axis Sally,2021,R,28 May 2021,109 min,Drama,Michael Polish,"William E. Owen, Vance Owen, Darryl Hicks","Meadow Williams, Al Pacino, Carsten Norgaard",English,25.0,5.6,"$13,375",0
210,210,Secret Agent Dingledorf and His Trusty Dog Splat,2021,PG,23 Jul 2021,89 min,"Comedy, Family",Billy Dickson,Bill Myers,"Zackary Arthur, Paul Johansson, Jason Dolley",English,0.0,5.0,0,0
211,211,Hive,2021,0,26 Nov 2021,84 min,Drama,Blerta Basholli,Blerta Basholli,"Yllka Gashi, Çun Lajçi, Aurita Agushi",Albanian,71.0,7.3,"$13,028",0
212,212,We Need to Do Something,2021,Unrated,03 Sep 2021,97 min,"Horror, Mystery",Sean King O'Grady,Max Booth III,"Sierra McCormick, Vinessa Shaw, Pat Healy",English,48.0,4.5,0,0
213,213,Bring Your Own Brigade,2021,R,20 Aug 2021,119 min,Documentary,Lucy Walker,"Katherine Montgomery, Lucy Walker","Trina Cunningham, Mike Davis, Don Hankins",English,81.0,7.3,"$12,245",0
214,214,Stray,2021,0,13 May 2021,13 min,"Short, Drama",Niall Gavigan,Fhinn McClure,"Jamie Duffy, Bartek Jedras",English,0.0,0.0,0,0
215,215,Storm Lake,2021,0,02 Jun 2021,85 min,Documentary,"Beth Levison, Jerry Risius",0,"Jill Biden, Pete Buttigieg, Julian Castro",English,0.0,0.0,"$10,450",0
216,216,Lorelei,2021,0,07 Sep 2021,12 min,"Short, Fantasy, Thriller",Lars Janssen,"Lars Janssen, Charlotte Dawn Potter","Charlotte Dawn Potter, Martin Doran, Jorge Amorim",English,0.0,0.0,0,0
217,217,The Year of the Everlasting Storm,2021,0,09 Sep 2021,115 min,Mystery,"Anthony Chen, David Lowery, Jafar Panahi","Anthony Chen, David Lowery, Jafar Panahi","Yay Yay Bobby Jones, Catherine Machovsky, Yu Zhang","Persian, Chinese, English, Spanish, Thai",72.0,5.8,0,0
218,218,"Glam, Sweat & Tears",2021,0,07 Jun 2021,0,"Documentary, Music",Jovan Radomir,0,"Tomas Ericsson, Eddie Eriksson, Hans Fogelberg","English, Swedish",0.0,6.7,"$9,176",0
219,219,Sabaya,2021,0,30 Jul 2021,90 min,Documentary,Hogir Hirori,Hogir Hirori,0,"Kurdish, Arabic",86.0,7.2,"$8,316",0
220,220,La Petite fille aux larmes de sel,2021,0,0,0,Short,Alannah Carrot,0,Olivia Devlo,0,0.0,0.0,0,0
221,221,All the Streets Are Silent: The Convergence of Hip Hop and Skateboarding (1987-1997),2021,0,23 Jul 2021,89 min,Documentary,Jeremy Elkin,"Dana Brown, Jeremy Elkin","Stretch Armstrong, Peter Bici, Mike Carroll",English,60.0,7.2,0,0
222,222,Average Joe,2021,Not Rated,08 Jan 2021,87 min,"Action, Comedy",Mark Cantu,Mark Cantu,"Camden Toy, Jason Sedillo, Caitlin Rose Williams",English,0.0,2.6,"$6,887",0
223,223,The Feast,2021,0,29 Apr 2022,93 min,"Drama, Horror, Mystery",Lee Haven Jones,Roger Williams,"Annes Elwy, Nia Roberts, Julian Lewis Jones",Welsh,68.0,5.4,"$5,824",0
224,224,El Planeta,2021,0,08 Oct 2021,79 min,Comedy,Amalia Ulman,Amalia Ulman,"Ale Ulman, Amalia Ulman, Nacho Vigalondo",Spanish,76.0,6.5,0,0
225,225,Final Frequency,2021,0,30 Apr 2021,0,"Short, Mystery",Richard Baptiste,Richard Baptiste,"Emma Elliott, James Owens, Jeana Varney",English,0.0,0.0,"$5,497",0
226,226,The Boonies,2021,0,13 Apr 2021,97 min,Horror,Lance Parkin,"Lance Parkin, Matt Schultz","Daniel Johnson, James Quinn, Rick Dutrow",English,0.0,2.7,0,0
227,227,She Professed Herself Pupil of the Wise Man,2021,0,0,0,"Animation, Adventure, Fantasy",0,0,"Brianna Roberts, Ayumu Murase, Hinata Minami",Japanese,0.0,0.0,0,0
228,228,Dark State,2021,0,19 Mar 2021,93 min,"Crime, Drama, Mystery",Tracy Lucca,Tracy Lucca,"Nicholas Baroudi, Melissa Connell, Antoni Corone",English,0.0,3.5,"$4,382",0
229,229,"Here, After",2021,0,06 May 2021,0,Short,Kate Sakamoto,Kate Sakamoto,"Margaret Brock, Carole Miles, Soli Reid",English,0.0,0.0,0,0
230,230,Rock Paper Scissors,2021,0,20 Jul 2021,95 min,Comedy,"Jayme Laforest, Richard Yearwood",Jayme Laforest,"Vahe Sevani, Jeremy Dozier, Kristopher Maz",English,0.0,4.8,"$3,050",0
231,231,Toutes les deux,2021,0,03 Oct 2021,90 min,"Comedy, Romance",Noël Mitrani,Noël Mitrani,"Veronika Leclerc Strickland, Mélanie Elliott, Vitali Makarov",French,0.0,0.0,0,0
232,232,Blood Brothers: Malcolm X & Muhammad Ali,2021,PG-13,09 Sep 2021,95 min,"Documentary, Biography, History",Marcus A. Clarke,"Randy Roberts, Johnny Smith","Ilyasah Shabazz, Rahman Ali, Cornel West",English,69.0,6.8,"$2,839",0
233,233,Mayday,2021,0,01 Oct 2021,100 min,"Drama, Fantasy, Mystery",Karen Cinorre,Karen Cinorre,"Grace Van Patten, Mia Goth, Soko",English,45.0,4.0,"$3,550",0
234,234,No Place,2021,0,12 Mar 2021,7 min,"Short, Mystery",Eric Maurer,Eric Maurer,0,None,0.0,0.0,"$2,238",0
235,235,Naked Singularity,2021,R,13 Aug 2021,93 min,"Comedy, Crime, Drama",Chase Palmer,"Chase Palmer, David Matthews, Sergio De La Pava","John Boyega, Olivia Cooke, Bill Skarsgård",English,36.0,4.6,"$2,113",0
236,236,Project Space 13,2021,0,03 Dec 2021,0,Comedy,Michael M. Bilandic,0,"Theodore Bouloukos, Jason Grisell, Keith Poulson",English,0.0,0.0,"$1,616",0
237,237,The Village Detective: a song cycle,2021,0,05 Sep 2021,81 min,Documentary,Bill Morrison,Bill Morrison,Mikhail Zharov,"English, Icelandic, Russian",0.0,0.0,"$1,096",0
238,238,Below the Fold,2021,0,23 Nov 2021,92 min,"Drama, Mystery, Thriller",Clayton Scott,Clayton Scott,"Davis DeRock, Sarah McGuire, Jamie Addison",English,0.0,4.1,$462,0
239,239,A Glitch in the Matrix,2021,Not Rated,05 Feb 2021,108 min,Documentary,Rodney Ascher,Rodney Ascher,"Nick Bostrom, Joshua Cooke, Erik Davis",English,62.0,5.3,$880,0
240,240,Agnes,2021,0,10 Dec 2021,93 min,"Drama, Horror",Mickey Reece,"Mickey Reece, John Selvidge","Molly C. Quinn, Sean Gunn, Chris Sullivan",English,65.0,4.1,0,0
241,241,Crack House of the Dead,2021,R,18 Jun 2021,86 min,"Action, Horror",Jason Toler,Jason Toler,"Levi Bowling, Steve Crest, Marcus Hanftaler",English,0.0,0.0,0,0
242,242,Operation Portugal,2021,0,02 Nov 2021,95 min,Comedy,Frank Cimière,0,"D'Jal, Sarah Perles, Pierre Azéma",French,0.0,4.2,0,0
243,243,Mickey Mouse Funhouse,2021,TV-G,16 Jul 2021,0,"Animation, Short, Adventure",0,0,"Bret Iwan, Kaitlyn Robrock, Tony Anselmo",English,0.0,5.8,0,0
244,244,Descarrilados,2021,R,20 Aug 2021,98 min,Comedy,Fer García-Ruiz,David Marqués,"Julián López, Ernesto Sevilla, Arturo Valls",Spanish,0.0,0.0,0,0
245,245,First Signal,2021,0,26 Apr 2021,102 min,"Drama, History, Sci-Fi",Mark Lund,Mark Lund,"Paul Noonan, Conor Timmis, Wendy Hartman",English,0.0,6.8,0,0
246,0,Scream,2022,R,14 Jan 2022,114 min,"Horror, Mystery, Thriller","Matt Bettinelli-Olpin, Tyler Gillett","James Vanderbilt, Guy Busick, Kevin Williamson","Neve Campbell, Courteney Cox, David Arquette",English,60.0,7.0,"$74,568,594",0
